,0
0,124.92259720986804
1,115.19030919957527
2,117.06049161844282
3,120.75928051580743
4,118.8894750716043
5,125.45462953908424
6,118.92529850838507
7,120.81133493329828
8,122.37321232873667
9,120.70520767687981
10,117.55690667102635
11,120.1739200310113
12,116.29874990619658
13,125.3929706877901
14,117.74969257313987
15,124.39178162004865
16,121.88111912516347
17,117.44325745663882
18,118.6443410304427
19,119.62393834628028
20,118.41711545374385
21,119.77987850711345
22,122.12131841589259
23,118.89603628665691
24,121.61146623380917
25,116.49741485415677
26,115.90238689130001
27,115.25675579131781
28,118.51154909558323
29,120.43891905250713
30,118.84197013843658
31,127.99315166032899
32,121.62107114389651
33,117.44422013392858
34,131.260994817069
35,119.46415727172366
36,117.13384764484304
37,125.15701920405998
38,124.66599775894792
39,120.70041394971152
40,115.95645945127772
41,125.13603184186923
42,121.66743987140215
43,113.9280196861829
44,122.24240978177858
45,108.62868655157955
46,119.91609469172329
47,120.29969968811041
48,121.28513998466313
49,120.54862822318604
50,119.8727899548085
51,126.60930379422798
52,114.33378037133095
53,121.36729554212633
54,124.81250557787195
55,114.7833461493002
56,115.97874676056338
57,114.35973761248485
58,118.66587294275243
59,116.07584366109171
60,118.46925798494738
61,116.63783845708315
62,125.79904159963796
63,118.46341370765771
64,117.59979074359039
65,128.37196807441273
66,122.56354539392342
67,124.20785205410311
68,117.50795614364496
69,118.25269209344252
70,120.44107198161046
71,122.67233408097412
72,119.72029132324775
73,120.99555016455383
74,118.56956805386316
75,118.08324013444916
76,120.03792479148899
77,119.18083580958204
78,119.22425135147154
79,115.91762175422387
80,121.04528978935903
81,119.37338749608939
82,114.44607103491018
83,121.26335587176357
84,123.20404631925257
85,124.04995323685601
86,117.38962782432583
87,119.55037202460636
88,119.89805318550378
89,131.90332105606535
90,127.47328428783818
91,125.78971564587641
92,117.37408233690522
93,123.31928281512455
94,114.9698175519981
95,116.68170847679485
96,120.39710202079931
97,122.31410148679286
98,124.19279749555979
99,122.30033745499394
100,118.36890534990741
101,120.6034531908446
102,121.60516075700585
103,119.676143422492
104,118.6190820433945
105,118.11635573256824
106,118.87616007016315
107,118.93273027282652
108,118.44489413673482
109,116.34881974269098
110,119.09578223421724
111,123.05790192763239
112,118.0297430503867
113,117.89236312431896
114,114.84440789176993
115,120.48016873830032
116,120.44563675750224
117,120.13290456482954
118,119.71839873688732
119,118.7278077333509
120,120.07852981026488
121,119.50889158720169
122,122.2432801681708
123,122.68035863304792
124,118.65316760243634
125,126.16080676120546
126,115.80169117509868
127,123.15179390781066
128,122.06657293579221
129,122.48825005260566
130,121.81617352251708
131,122.38556233293423
132,121.63697193174544
133,121.42167264276351
134,115.32344202957742
135,120.89786136817212
136,122.1593652789613
137,122.48071533358439
138,117.42453727407623
139,119.2104446241485
140,118.24373459993336
141,120.24592581164302
142,115.49099541038908
143,121.25998375629439
144,122.08707971689252
145,118.45933130036651
146,117.59548611876153
147,114.49383398316745
148,112.67101791837887
149,118.71309026830126
150,118.55038761654868
151,119.97146959858651
152,118.36475767924115
153,117.01062549007644
154,119.83373655954009
155,120.50192892938514
156,122.10076959306534
157,117.69449471041257
158,120.28906381392495
159,116.03195923529883
160,119.82918409446037
