,0
0,120.33294035415834
1,122.71435537834772
2,126.41598523597393
3,125.775363604738
4,122.51359224371114
5,141.93935741376822
6,117.56378870860193
7,119.15693569804967
8,122.40611170560707
9,124.29302693827984
10,119.45737897880062
11,116.28973761525415
12,120.8978888250192
13,117.60068906805039
14,120.92382555597771
15,122.98491294018888
16,119.90270647424836
17,116.60076403510112
18,117.39125786489262
19,119.0935093075889
20,127.35361311128291
21,115.346680080111
22,114.12681839878032
23,120.80854738782887
24,118.2605668227884
25,122.38633297756682
26,120.59593609558286
27,123.40874166089505
28,115.03782600130211
29,123.46935098448948
30,115.92160592367661
31,123.1117386874952
32,117.36230057792493
33,123.08625409415497
34,120.01585904558885
35,118.85819769357681
36,117.51931592166886
37,116.66141452660372
38,118.23821201307925
39,118.21561278127348
40,117.2228153922906
41,117.69400984918104
42,120.8060861304775
43,115.71828650261835
44,121.66905879562279
45,118.52528712678323
46,115.69836875877147
47,115.47490111791025
48,120.39272948250259
49,114.15911639219004
50,126.0237343740154
51,115.20471269088543
52,128.95347963490426
53,119.25257389430914
54,124.24474228273081
55,121.12208134213616
56,117.82847588210593
57,122.81148601859503
58,126.04759676759713
59,119.37793918359708
60,118.31692352526622
61,122.10955804627665
62,123.65394859624875
63,113.18319943879084
64,113.90388622068875
65,115.80529436977072
66,121.62115422287923
67,121.72424275801944
68,120.40949621910278
69,127.43922332723713
70,122.1659812164222
71,123.41676017445224
72,118.3742923454154
73,119.75556889370215
74,113.42724719603062
75,114.15079870192072
76,119.03949192139886
77,116.70643296252231
78,118.66943651640855
79,118.60780528365012
80,116.99601765996576
81,117.58380216846392
82,118.23371136861459
83,117.26186741060933
84,139.15346347399407
85,119.04838938467941
86,119.7070289413428
87,118.19845398344859
88,124.1286748289683
89,121.63657702877268
90,125.02060649187452
91,120.80684215573339
92,121.74221877942188
93,123.77423125034511
94,110.99705311400939
95,118.1671680715636
96,118.68580375503386
97,120.48658983217446
98,116.9573391631356
99,123.89801644387465
100,123.61128419099796
101,122.72715053064863
102,127.21126121677193
103,124.24494955338075
104,120.40717694993155
105,119.3447958376518
106,120.10236417578841
107,121.54887545742199
108,116.78121179980383
109,113.360060362912
110,126.84832582057304
111,121.93198417865148
112,120.95884980439087
113,112.04882349238554
114,123.43685778999135
115,122.19240083925133
116,123.57123975739542
117,119.56522095708196
118,115.13214138372335
119,120.65851982045909
120,121.8889631326314
121,120.92790269282284
122,121.43705350024277
123,114.59816995087188
124,120.10773333895168
125,120.65114456284398
126,119.38304190429699
127,113.14572448504471
128,112.62420173668568
129,125.95898810448855
130,122.957638626826
131,117.09131956517315
132,115.54327817060016
133,116.57058662288101
134,118.53725620293498
135,124.03060407549724
136,118.5977935968614
137,119.45022145200683
138,116.8265477368629
139,113.79449972756201
140,117.84717785923631
141,138.8136507173657
142,117.12957236756525
143,122.3818320253951
144,118.33523427944147
145,122.04877831451473
146,110.7121605696094
147,113.6793581470635
148,117.43202864327976
149,118.01354379290892
150,120.88193537554504
151,117.32803528383644
152,125.03664480960683
153,119.83585288569088
154,118.68581449378868
155,124.00819275929656
156,117.72583699513157
157,121.63662030235866
158,119.35627600055008
159,126.42026223387145
160,118.58982079209268
161,120.74035582747314
162,113.37575116790589
163,118.77625277285492
164,115.89729827934805
165,121.04300652764803
166,124.01810933042955
167,109.91022786111073
168,115.83872974854847
169,120.94677506362055
170,115.07023574837483
171,118.86236649145997
172,112.03007758933381
173,121.1961408593348
174,115.96239533446173
175,119.77739042928086
176,122.96149697203977
177,119.34477089587075
178,119.50587373269882
179,119.32748277011505
180,119.49028239302095
181,121.41691061539446
182,120.74697089715212
183,114.6588502275448
184,123.16588609994677
185,125.73366895888383
186,122.96671648554005
187,117.60469701873042
188,118.54641127903602
189,112.06844934036394
190,122.66223783709684
191,117.5398459271431
192,115.67802920844785
193,118.86285082730532
194,116.61248648299762
195,121.02232658123597
196,117.88090011278025
197,122.4456699055374
198,122.97377732283906
199,116.14165505340958
200,109.16876829192977
201,120.38919996004512
202,117.85867680157442
203,121.14108201854972
204,119.93189719545151
205,121.55816649799867
206,124.76509333383711
207,120.79456177243362
208,115.70150693181758
209,120.33297219853935
210,117.95382299416117
211,119.11108838516733
212,119.01108142510813
213,120.42075286157039
214,120.70343364303935
215,117.92020051247869
216,120.76584047204412
217,126.28650641205323
218,120.88941925465004
219,118.36765742577303
220,118.2111946036769
221,117.64714558334325
222,118.399654618818
223,115.76122857154108
224,122.83136133594576
225,116.20157950042659
226,117.36522740578154
227,125.45065166819539
228,119.71162595565184
229,116.8631552731813
230,126.54027755423593
231,115.56326143336246
232,126.04865652379408
233,118.99524092113593
234,119.44099135778583
235,116.9846115585454
236,133.39150421593342
237,123.9216141135546
238,117.19346406270336
239,120.51002968356795
240,121.66297299979715
241,118.14257943629494
242,128.85267971213528
243,116.81877057537957
244,114.99630761584281
245,119.86712508092907
246,121.42118405255997
247,122.9464539184081
248,121.35160654120945
249,119.71972402031084
250,116.72854531344622
251,117.48685199825235
252,121.9607847599385
253,122.42307501773854
254,121.52997988871438
255,122.15839178714369
256,116.45594984082369
257,119.02242163094597
258,120.43906728238726
259,120.36122794894546
260,122.94064938486963
261,114.78504974551835
262,126.27817937595775
263,122.63944742516085
264,125.53787646513966
265,116.22866169913465
266,125.42167287247088
267,122.52226026338329
268,129.01795980041024
269,116.08235137716747
270,120.93130270838999
271,128.9260509671863
272,126.51687507302248
273,123.07880139522273
